commodity,office_code,wbs_element,period,key,Implementation Reqs,Implementation Shortfalls,Implementation Reqs FCR,Implementation Shortfalls FCR
Beans,ZWCO,ZW01.04.041.ACL1,2021-02-01,BeansZWCOZW01.04.041.ACL144228,0,0,0,0
Peas,ZWCO,ZW01.04.041.ACL1,2021-02-01,PeasZWCOZW01.04.041.ACL144228,0,0,0,0
Sorghum/Millet,ZWCO,ZW01.04.041.ACL1,2021-02-01,Sorghum/MilletZWCOZW01.04.041.ACL144228,0,0,0,0
Split Peas,ZWCO,ZW01.04.041.ACL1,2021-02-01,Split PeasZWCOZW01.04.041.ACL144228,0,0,0,0
Vegetable Oil,ZWCO,ZW01.04.041.ACL1,2021-02-01,Vegetable OilZWCOZW01.04.041.ACL144228,0,0,0,0
Iodized Salt,YECO,,2021-02-01,Iodized SaltYECO44228,0,0,0,0
Rations,YECO,,2021-02-01,RationsYECO44228,0,0,0,0
Split Peas,YECO,,2021-02-01,Split PeasYECO44228,0,0,0,0
Sugar,YECO,,2021-02-01,SugarYECO44228,0,0,0,0
Vegetable Oil,YECO,,2021-02-01,Vegetable OilYECO44228,0,0,0,0
Wheat,YECO,,2021-02-01,WheatYECO44228,0,0,0,0
Wheat Flour,YECO,,2021-02-01,Wheat FlourYECO44228,0,0,0,0
High Energy Biscuits,AFCO,AF01.01.011.URT1,2021-03-01,High Energy BiscuitsAFCOAF01.01.011.URT144256,19,16.5,51941.40256,45107.00748
Iodized Salt,AFCO,AF01.01.011.URT1,2021-03-01,Iodized SaltAFCOAF01.01.011.URT144256,94.875,94.875,63060.80263,63060.80263
LNS-MQ,AFCO,AF01.01.011.URT1,2021-03-01,LNS-MQAFCOAF01.01.011.URT144256,0,0,0,0
Split Peas,AFCO,AF01.01.011.URT1,2021-03-01,Split PeasAFCOAF01.01.011.URT144256,802.5,802.5,823539.9164,823539.9164
Vegetable Oil - Palmolien,AFCO,AF01.01.011.URT1,2021-03-01,Vegetable Oil - PalmolienAFCOAF01.01.011.URT144256,453.22275,453.22275,699379.9686,699379.9686
Wheat Flour,AFCO,AF01.01.011.URT1,2021-03-01,Wheat FlourAFCOAF01.01.011.URT144256,4631.85,4631.85,4591878.098,4591878.098
Iodized Salt,AFCO,AF01.01.021.ACL1,2021-03-01,Iodized SaltAFCOAF01.01.021.ACL144256,28.5,28.5,22608.79722,22608.79722
LNS-MQ,AFCO,AF01.01.021.ACL1,2021-03-01,LNS-MQAFCOAF01.01.021.ACL144256,0,0,0,0
Split Peas,AFCO,AF01.01.021.ACL1,2021-03-01,Split PeasAFCOAF01.01.021.ACL144256,228,228,258148.3279,258148.3279
Vegetable Oil - Palmolien,AFCO,AF01.01.021.ACL1,2021-03-01,Vegetable Oil - PalmolienAFCOAF01.01.021.ACL144256,122.151,122.151,197495.704,197495.704
Wheat Flour,AFCO,AF01.01.021.ACL1,2021-03-01,Wheat FlourAFCOAF01.01.021.ACL144256,1248.3,1248.3,1372581.683,1372581.683
LNS-LQ,AFCO,AF01.02.031.NPA1,2021-03-01,LNS-LQAFCOAF01.02.031.NPA144256,598.5,598.5,2190867.578,2190867.578
LNS-MQ,AFCO,AF01.02.031.NPA1,2021-03-01,LNS-MQAFCOAF01.02.031.NPA144256,28.5,28.5,116125.8116,116125.8116
Super Cereal (WSB+) With Sugar,AFCO,AF01.02.031.NPA1,2021-03-01,Super Cereal (WSB+) With SugarAFCOAF01.02.031.NPA144256,771.25,771.25,1182076.68,1182076.68
Buckwheat,AMCO,AM02.01.013.SMP1,2021-03-01,BuckwheatAMCOAM02.01.013.SMP144256,7,7,6792.860568,6792.860568
Lentils,AMCO,AM02.01.013.SMP1,2021-03-01,LentilsAMCOAM02.01.013.SMP144256,13.65,13.65,11143.21408,11143.21408
Pasta,AMCO,AM02.01.013.SMP1,2021-03-01,PastaAMCOAM02.01.013.SMP144256,7,7,5412.115912,5412.115912
Rice,AMCO,AM02.01.013.SMP1,2021-03-01,RiceAMCOAM02.01.013.SMP144256,7,7,7004.507559,7004.507559
Vegetable Oil - Sunflower,AMCO,AM02.01.013.SMP1,2021-03-01,Vegetable Oil - SunflowerAMCOAM02.01.013.SMP144256,10.15,10.15,24551.05095,24551.05095
Wheat Flour,AMCO,AM02.01.013.SMP1,2021-03-01,Wheat FlourAMCOAM02.01.013.SMP144256,143.5,143.5,91733.85295,91733.85295
Beans,AOCO,AO01.01.011.URT1,2021-03-01,BeansAOCOAO01.01.011.URT144256,0,0,0,0
Beans,BFCO,BF02.01.011.URT1,2021-03-01,BeansBFCOBF02.01.011.URT144256,31.32,31.32,31386.2921,31386.2921
Iodized Salt,BFCO,BF02.01.011.URT1,2021-03-01,Iodized SaltBFCOBF02.01.011.URT144256,3.132,3.132,1291.087398,1291.087398
Rice,BFCO,BF02.01.011.URT1,2021-03-01,RiceBFCOBF02.01.011.URT144256,90.72,90.72,82779.04576,82779.04576
Sorghum/Millet,BFCO,BF02.01.011.URT1,2021-03-01,Sorghum/MilletBFCOBF02.01.011.URT144256,34.56,34.56,29110.89557,29110.89557
Super Cereal (CSB+) With Sugar,BFCO,BF02.01.011.URT1,2021-03-01,Super Cereal (CSB+) With SugarBFCOBF02.01.011.URT144256,15.66,15.66,21415.82215,21415.82215
Vegetable Oil,BFCO,BF02.01.011.URT1,2021-03-01,Vegetable OilBFCOBF02.01.011.URT144256,15.66,15.66,19117.30704,19117.30704
Beans,BFCO,BF02.01.021.SMP1,2021-03-01,BeansBFCOBF02.01.021.SMP144256,35.2243584,35.2243584,45996.62242,45996.62242
Iodized Salt,BFCO,BF02.01.021.SMP1,2021-03-01,Iodized SaltBFCOBF02.01.021.SMP144256,2.64182688,2.64182688,1385.826011,1385.826011
Micronutrition Powder,BFCO,BF02.01.021.SMP1,2021-03-01,Micronutrition PowderBFCOBF02.01.021.SMP144256,0.44030448,0.44030448,10998.89835,10998.89835
Rice,BFCO,BF02.01.021.SMP1,2021-03-01,RiceBFCOBF02.01.021.SMP144256,186.0274336,0,184830.6144,0
Super Cereal (CSB+) With Sugar,BFCO,BF02.01.021.SMP1,2021-03-01,Super Cereal (CSB+) With SugarBFCOBF02.01.021.SMP144256,43.8509376,43.8509376,36695.48438,36695.48438
Uht Milk,BFCO,BF02.01.021.SMP1,2021-03-01,Uht MilkBFCOBF02.01.021.SMP144256,37.44,37.44,122453.595,122453.595
Vegetable Oil,BFCO,BF02.01.021.SMP1,2021-03-01,Vegetable OilBFCOBF02.01.021.SMP144256,17.6121792,17.6121792,19259.56076,19259.56076
Beans,BFCO,BF02.02.031.NTA1,2021-03-01,BeansBFCOBF02.02.031.NTA144256,0,0,0,0
Super Cereal Plus (CSB++),BFCO,BF02.02.031.NTA1,2021-03-01,Super Cereal Plus (CSB++)BFCOBF02.02.031.NTA144256,0,0,0,0
Iodized Salt,CGCO,CG01.01.011.URT1,2021-03-01,Iodized SaltCGCOCG01.01.011.URT144256,0,0,0,0
LNS-LQ,CGCO,CG01.01.011.URT1,2021-03-01,LNS-LQCGCOCG01.01.011.URT144256,0,0,0,0
Rice,CGCO,CG01.01.011.URT1,2021-03-01,RiceCGCOCG01.01.011.URT144256,0,0,0,0
Split Peas,CGCO,CG01.01.011.URT1,2021-03-01,Split PeasCGCOCG01.01.011.URT144256,0,0,0,0
Vegetable Oil,CGCO,CG01.01.011.URT1,2021-03-01,Vegetable OilCGCOCG01.01.011.URT144256,0,0,0,0
Rice,CGCO,CG01.01.023.SMP1,2021-03-01,RiceCGCOCG01.01.023.SMP144256,0,0,0,0
Split Peas,CGCO,CG01.01.023.SMP1,2021-03-01,Split PeasCGCOCG01.01.023.SMP144256,0,0,0,0
Split Peas,CICO,CI02.01.011.SMP1,2021-03-01,Split PeasCICOCI02.01.011.SMP144256,0,0,0,0
High Energy Biscuits,CMCO,CM01.01.011.URT1,2021-03-01,High Energy BiscuitsCMCOCM01.01.011.URT144256,0,0,0,0
Rice,CMCO,CM01.01.011.URT1,2021-03-01,RiceCMCOCM01.01.011.URT144256,0,0,0,0
Split Peas,CMCO,CM01.01.021.SMP1,2021-03-01,Split PeasCMCOCM01.01.021.SMP144256,0,0,0,0
Vegetable Oil,CMCO,CM01.02.031.NPA1,2021-03-01,Vegetable OilCMCOCM01.02.031.NPA144256,0,0,0,0
Lentils,COCO,CO01.01.021.URT1,2021-03-01,LentilsCOCOCO01.01.021.URT144256,0,0,0,0
Rice,COCO,CO01.01.021.URT1,2021-03-01,RiceCOCOCO01.01.021.URT144256,0,0,0,0
Vegetable Oil,COCO,CO01.01.021.URT1,2021-03-01,Vegetable OilCOCOCO01.01.021.URT144256,0,0,0,0
Beans,COCO,CO01.02.031.SMP1,2021-03-01,BeansCOCOCO01.02.031.SMP144256,0,0,0,0
Biscuits,COCO,CO01.02.031.SMP1,2021-03-01,BiscuitsCOCOCO01.02.031.SMP144256,0,0,0,0
Dried Whole Milk,COCO,CO01.02.031.SMP1,2021-03-01,Dried Whole MilkCOCOCO01.02.031.SMP144256,0,0,0,0
Iodized Salt,COCO,CO01.02.031.SMP1,2021-03-01,Iodized SaltCOCOCO01.02.031.SMP144256,0,0,0,0
Lentils,COCO,CO01.02.031.SMP1,2021-03-01,LentilsCOCOCO01.02.031.SMP144256,0,0,0,0
Maize,COCO,CO01.02.031.SMP1,2021-03-01,MaizeCOCOCO01.02.031.SMP144256,0,0,0,0
Maize Meal,COCO,CO01.02.031.SMP1,2021-03-01,Maize MealCOCOCO01.02.031.SMP144256,0,0,0,0
Rice,COCO,CO01.02.031.SMP1,2021-03-01,RiceCOCOCO01.02.031.SMP144256,0,0,0,0
Sugar,COCO,CO01.02.031.SMP1,2021-03-01,SugarCOCOCO01.02.031.SMP144256,0,0,0,0
Vegetable Oil,COCO,CO01.02.031.SMP1,2021-03-01,Vegetable OilCOCOCO01.02.031.SMP144256,0,0,0,0
Iodized Salt,DJCO,DJ02.01.011.URT1,2021-03-01,Iodized SaltDJCODJ02.01.011.URT144256,2.7,2.7,1671.196535,1671.196535
Rice,DJCO,DJ02.01.011.URT1,2021-03-01,RiceDJCODJ02.01.011.URT144256,0,0,0,0
Sorghum Flour,DJCO,DJ02.01.011.URT1,2021-03-01,Sorghum FlourDJCODJ02.01.011.URT144256,0,0,0,0
Split Peas,DJCO,DJ02.01.011.URT1,2021-03-01,Split PeasDJCODJ02.01.011.URT144256,32.4,32.4,35298.23587,35298.23587
Sugar,DJCO,DJ02.01.011.URT1,2021-03-01,SugarDJCODJ02.01.011.URT144256,10.8,10.8,11442.96208,11442.96208
Super Cereal (WSB+),DJCO,DJ02.01.011.URT1,2021-03-01,Super Cereal (WSB+)DJCODJ02.01.011.URT144256,0,0,0,0
Super Cereal Plus (WSB++),DJCO,DJ02.01.011.URT1,2021-03-01,Super Cereal Plus (WSB++)DJCODJ02.01.011.URT144256,7.83,7.83,14284.63273,14284.63273
Vegetable Oil,DJCO,DJ02.01.011.URT1,2021-03-01,Vegetable OilDJCODJ02.01.011.URT144256,16.2,16.2,32269.56773,32269.56773
Wheat Flour,DJCO,DJ02.01.011.URT1,2021-03-01,Wheat FlourDJCODJ02.01.011.URT144256,162,162,167860.7125,167860.7125
Iodized Salt,DJCO,DJ02.01.021.CSI1,2021-03-01,Iodized SaltDJCODJ02.01.021.CSI144256,0.819,0.819,511.7536368,511.7536368
Rice,DJCO,DJ02.01.021.CSI1,2021-03-01,RiceDJCODJ02.01.021.CSI144256,20.475,20.475,19412.69739,19412.69739
Sorghum Flour,DJCO,DJ02.01.021.CSI1,2021-03-01,Sorghum FlourDJCODJ02.01.021.CSI144256,42,42,35087.11038,35087.11038
Split Peas,DJCO,DJ02.01.021.CSI1,2021-03-01,Split PeasDJCODJ02.01.021.CSI144256,26.334,26.334,28805.80955,28805.80955
Sugar,DJCO,DJ02.01.021.CSI1,2021-03-01,SugarDJCODJ02.01.021.CSI144256,8.631,8.631,9183.725777,9183.725777
Super Cereal (WSB+),DJCO,DJ02.01.021.CSI1,2021-03-01,Super Cereal (WSB+)DJCODJ02.01.021.CSI144256,16.38,16.38,18505.10938,18505.10938
Vegetable Oil,DJCO,DJ02.01.021.CSI1,2021-03-01,Vegetable OilDJCODJ02.01.021.CSI144256,13.167,13.167,26248.75031,26248.75031
Wheat Flour,DJCO,DJ02.01.021.CSI1,2021-03-01,Wheat FlourDJCODJ02.01.021.CSI144256,69.195,69.195,72015.15881,72015.15881
Iodized Salt,DJCO,DJ02.01.021.NTA1,2021-03-01,Iodized SaltDJCODJ02.01.021.NTA144256,0.18,0.18,106.8918709,106.8918709
Rice,DJCO,DJ02.01.021.NTA1,2021-03-01,RiceDJCODJ02.01.021.NTA144256,1.8,1.8,1666.377456,1666.377456
Split Peas,DJCO,DJ02.01.021.NTA1,2021-03-01,Split PeasDJCODJ02.01.021.NTA144256,0.72,0.72,774.2985941,774.2985941
Sugar,DJCO,DJ02.01.021.NTA1,2021-03-01,SugarDJCODJ02.01.021.NTA144256,1.7325,0,1810.101939,0
Super Cereal (WSB+),DJCO,DJ02.01.021.NTA1,2021-03-01,Super Cereal (WSB+)DJCODJ02.01.021.NTA144256,17.325,17.325,19269.72409,19269.72409
Super Cereal Plus (WSB++),DJCO,DJ02.01.021.NTA1,2021-03-01,Super Cereal Plus (WSB++)DJCODJ02.01.021.NTA144256,55.5,55.5,101432.778,101432.778
Vegetable Oil,DJCO,DJ02.01.021.NTA1,2021-03-01,Vegetable OilDJCODJ02.01.021.NTA144256,5.94,5.94,11875.05285,11875.05285
Wheat Flour,DJCO,DJ02.01.021.NTA1,2021-03-01,Wheat FlourDJCODJ02.01.021.NTA144256,1.8,1.8,1837.59392,1837.59392
Super Cereal Plus (CSB++),DOCO,DO02.02.021.CSI1,2021-03-01,Super Cereal Plus (CSB++)DOCODO02.02.021.CSI144256,0,0,0,0
Pasta,DZCO,DZ02.01.011.URT1,2021-03-01,PastaDZCODZ02.01.011.URT144256,0,0,0,0
LNS-LQ,DZCO,DZ02.02.021.NTA1,2021-03-01,LNS-LQDZCODZ02.02.021.NTA144256,1.86,1.86,4877.426686,4877.426686
LNS-SQ,DZCO,DZ02.02.021.NTA1,2021-03-01,LNS-SQDZCODZ02.02.021.NTA144256,8.184,0,1480.461502,0
Micronutrition Powder,DZCO,DZ02.02.021.NTA1,2021-03-01,Micronutrition PowderDZCODZ02.02.021.NTA144256,0.24,0.24,646.0862384,646.0862384
High Energy Biscuits,EGCO,EG02.01.011.SMP1,2021-03-01,High Energy BiscuitsEGCOEG02.01.011.SMP144256,571.2,571.2,1308076.478,1308076.478
Rice,EGCO,EG02.01.011.SMP1,2021-03-01,RiceEGCOEG02.01.011.SMP144256,480.0000024,480.0000024,240784.0884,240784.0884
Vegetable Oil,EGCO,EG02.01.011.SMP1,2021-03-01,Vegetable OilEGCOEG02.01.011.SMP144256,44.16,44.16,63453.32086,63453.32086
Vegetable Oil,EGCO,EG02.04.041.CAR1,2021-03-01,Vegetable OilEGCOEG02.04.041.CAR144256,1.104,1.104,1558.997892,1558.997892
Wheat Flour,EGCO,EG02.04.041.CAR1,2021-03-01,Wheat FlourEGCOEG02.04.041.CAR144256,13.33333333,13.33333333,5043.342041,5043.342041
Maize,ETCO,ET01.01.011.URT1,2021-03-01,MaizeETCOET01.01.011.URT144256,0,0,0,0
Split Peas,ETCO,ET01.01.011.URT1,2021-03-01,Split PeasETCOET01.01.011.URT144256,0,0,0,0
Vegetable Oil,ETCO,ET01.01.011.URT1,2021-03-01,Vegetable OilETCOET01.01.011.URT144256,0,0,0,0
Iodized Salt,ETCO,ET01.01.011.URT3,2021-03-01,Iodized SaltETCOET01.01.011.URT344256,100.57515,100.57515,61320.03031,61320.03031
Maize,ETCO,ET01.01.011.URT3,2021-03-01,MaizeETCOET01.01.011.URT344256,7493.40537,7493.40537,5946614.696,5946614.696
Split Peas,ETCO,ET01.01.011.URT3,2021-03-01,Split PeasETCOET01.01.011.URT344256,1005.7515,1005.7515,841005.0582,841005.0582
Sugar,ETCO,ET01.01.011.URT3,2021-03-01,SugarETCOET01.01.011.URT344256,301.72545,301.72545,300755.2273,300755.2273
Super Cereal (CSB+),ETCO,ET01.01.011.URT3,2021-03-01,Super Cereal (CSB+)ETCOET01.01.011.URT344256,663.79599,663.79599,655615.6341,655615.6341
Vegetable Oil,ETCO,ET01.01.011.URT3,2021-03-01,Vegetable OilETCOET01.01.011.URT344256,603.4509,603.4509,895487.0671,895487.0671
Vegetable Oil - Palmolien,GMCO,GM02.01.021.SMP1,2021-03-01,Vegetable Oil - PalmolienGMCOGM02.01.021.SMP144256,0,0,0,0
Iodized Salt,GNCO,GN02.01.011.SMP1,2021-03-01,Iodized SaltGNCOGN02.01.011.SMP144256,0,0,0,0
Super Cereal Plus (CSB++),GNCO,GN02.01.011.SMP1,2021-03-01,Super Cereal Plus (CSB++)GNCOGN02.01.011.SMP144256,0,0,0,0
Vegetable Oil - Palmolien,GNCO,GN02.01.011.SMP1,2021-03-01,Vegetable Oil - PalmolienGNCOGN02.01.011.SMP144256,0,0,0,0
Iodized Salt,GNCO,GN02.02.031.NPA1,2021-03-01,Iodized SaltGNCOGN02.02.031.NPA144256,0,0,0,0
Super Cereal Plus (CSB++),GTCO,GT01.02.011.NPA1,2021-03-01,Super Cereal Plus (CSB++)GTCOGT01.02.011.NPA144256,0,0,0,0
Beans,GWCO,GW02.01.021.SMP1,2021-03-01,BeansGWCOGW02.01.021.SMP144256,74.1,74.1,87685.54757,87685.54757
Canned Fish,GWCO,GW02.01.021.SMP1,2021-03-01,Canned FishGWCOGW02.01.021.SMP144256,74.1,74.1,413780.3696,413780.3696
Iodized Salt,GWCO,GW02.01.021.SMP1,2021-03-01,Iodized SaltGWCOGW02.01.021.SMP144256,11.115,11.115,8752.352392,8752.352392
Rice,GWCO,GW02.01.021.SMP1,2021-03-01,RiceGWCOGW02.01.021.SMP144256,469.68,469.68,376133.9332,376133.9332
Tubers Fresh,GWCO,GW02.01.021.SMP1,2021-03-01,Tubers FreshGWCOGW02.01.021.SMP144256,444.6,444.6,676866.5892,676866.5892
Vegetable Oil,GWCO,GW02.01.021.SMP1,2021-03-01,Vegetable OilGWCOGW02.01.021.SMP144256,37.05,37.05,48366.73932,48366.73932
Super Cereal (CSB+) With Sugar,GWCO,GW02.02.031.NPA1,2021-03-01,Super Cereal (CSB+) With SugarGWCOGW02.02.031.NPA144256,1.5,1.5,1862.789169,1862.789169
Super Cereal Plus (WSB++),GWCO,GW02.02.031.NPA1,2021-03-01,Super Cereal Plus (WSB++)GWCOGW02.02.031.NPA144256,1.998,1.998,3786.239363,3786.239363
Vegetable Oil,GWCO,GW02.02.031.NPA1,2021-03-01,Vegetable OilGWCOGW02.02.031.NPA144256,0.15,0.15,231.9420768,231.9420768
Beans,HNCO,HN01.01.011.SMP1,2021-03-01,BeansHNCOHN01.01.011.SMP144256,371.421,371.421,465218.5207,465218.5207
Dried Fruits,HNCO,HN01.01.011.SMP1,2021-03-01,Dried FruitsHNCOHN01.01.011.SMP144256,63.823415,63.823415,113678.034,113678.034
Maize Meal,HNCO,HN01.01.011.SMP1,2021-03-01,Maize MealHNCOHN01.01.011.SMP144256,835.4544,835.4544,700655.6705,700655.6705
Rice,HNCO,HN01.01.011.SMP1,2021-03-01,RiceHNCOHN01.01.011.SMP144256,430.8216,430.8216,380261.7045,380261.7045
Vegetable Oil,HNCO,HN01.01.011.SMP1,2021-03-01,Vegetable OilHNCOHN01.01.011.SMP144256,153.1446,153.1446,331457.0698,331457.0698
Beans,HNCO,HN01.01.041.URT1,2021-03-01,BeansHNCOHN01.01.041.URT144256,68.571,68.571,91702.05349,91702.05349
Iodized Salt,HNCO,HN01.01.041.URT1,2021-03-01,Iodized SaltHNCOHN01.01.041.URT144256,5.71425,5.71425,2557.779457,2557.779457
Maize,HNCO,HN01.01.041.URT1,2021-03-01,MaizeHNCOHN01.01.041.URT144256,228.57,228.57,156073.7578,156073.7578
Rice,HNCO,HN01.01.041.URT1,2021-03-01,RiceHNCOHN01.01.041.URT144256,228.57,228.57,205804.1439,205804.1439
Super Cereal (CSB+),HNCO,HN01.01.041.URT1,2021-03-01,Super Cereal (CSB+)HNCOHN01.01.041.URT144256,68.571,68.571,53676.85624,53676.85624
Vegetable Oil,HNCO,HN01.01.041.URT1,2021-03-01,Vegetable OilHNCOHN01.01.041.URT144256,28.57125,28.57125,62798.17674,62798.17674
Sugar,HNCO,HN01.02.021.NPA1,2021-03-01,SugarHNCOHN01.02.021.NPA144256,3.166,3.166,3541.395406,3541.395406
Super Cereal (CSB+),HNCO,HN01.02.021.NPA1,2021-03-01,Super Cereal (CSB+)HNCOHN01.02.021.NPA144256,31.66,31.66,40209.09163,40209.09163
Super Cereal Plus (CSB++),HNCO,HN01.02.021.NPA1,2021-03-01,Super Cereal Plus (CSB++)HNCOHN01.02.021.NPA144256,85.8266,85.8266,148345.2097,148345.2097
Vegetable Oil,HNCO,HN01.02.021.NPA1,2021-03-01,Vegetable OilHNCOHN01.02.021.NPA144256,3.166,3.166,7841.179306,7841.179306
Beans,HTCO,HT02.01.011.URT1,2021-03-01,BeansHTCOHT02.01.011.URT144256,0,0,0,0
High Energy Biscuits,HTCO,HT02.01.011.URT1,2021-03-01,High Energy BiscuitsHTCOHT02.01.011.URT144256,0,0,0,0
Iodized Salt,HTCO,HT02.01.011.URT1,2021-03-01,Iodized SaltHTCOHT02.01.011.URT144256,0,0,0,0
Beans,HTCO,HT02.01.021.SMP1,2021-03-01,BeansHTCOHT02.01.021.SMP144256,0,0,0,0
Bulgur Wheat,HTCO,HT02.01.021.SMP1,2021-03-01,Bulgur WheatHTCOHT02.01.021.SMP144256,253.188,253.188,169293.5075,169293.5075
Iodized Salt,HTCO,HT02.01.021.SMP1,2021-03-01,Iodized SaltHTCOHT02.01.021.SMP144256,15.3,15.3,8550.336467,8550.336467
Maize Meal,HTCO,HT02.01.021.SMP1,2021-03-01,Maize MealHTCOHT02.01.021.SMP144256,92.2464,75.28460635,87565.27159,71464.21976
Peas,HTCO,HT02.01.021.SMP1,2021-03-01,PeasHTCOHT02.01.021.SMP144256,153,153,109502.9266,109502.9266
Rice,HTCO,HT02.01.021.SMP1,2021-03-01,RiceHTCOHT02.01.021.SMP144256,266.5656,266.5656,355226.3702,355226.3702
Vegetable Oil,HTCO,HT02.01.021.SMP1,2021-03-01,Vegetable OilHTCOHT02.01.021.SMP144256,51,51,80100.17964,80100.17964
Iodized Salt,HTCO,HT02.03.031.SMP1,2021-03-01,Iodized SaltHTCOHT02.03.031.SMP144256,2.7,2.7,1500.504892,1500.504892
Vegetable Oil,HTCO,HT02.03.031.SMP1,2021-03-01,Vegetable OilHTCOHT02.03.031.SMP144256,9,9,14001.49235,14001.49235
Vegetable Oil,IRCO,IR01.01.011.URT1,2021-03-01,Vegetable OilIRCOIR01.01.011.URT144256,0,0,0,0
LNS-LQ,KECO,KE01.01.011.URT1,2021-03-01,LNS-LQKECOKE01.01.011.URT144256,0,0,0,0
Maize,KECO,KE01.01.011.URT1,2021-03-01,MaizeKECOKE01.01.011.URT144256,0,0,0,0
Split Peas,KECO,KE01.01.011.URT1,2021-03-01,Split PeasKECOKE01.01.011.URT144256,0,0,0,0
Vegetable Oil,KECO,KE01.01.011.URT1,2021-03-01,Vegetable OilKECOKE01.01.011.URT144256,0,0,0,0
Wheat Flour,KGCO,KG01.01.013.SMP1,2021-03-01,Wheat FlourKGCOKG01.01.013.SMP144256,93.6,93.6,90194.50416,90194.50416
Canned Fish,KHCO,KH02.01.011.SMP1,2021-03-01,Canned FishKHCOKH02.01.011.SMP144256,19.03044,19.03044,57791.18545,57791.18545
Rice,KHCO,KH02.01.011.SMP1,2021-03-01,RiceKHCOKH02.01.011.SMP144256,745.56961,745.56961,632495.1562,632495.1562
Split Peas,KHCO,KH02.01.011.SMP1,2021-03-01,Split PeasKHCOKH02.01.011.SMP144256,9.51522,9.51522,7663.878204,7663.878204
Vegetable Oil,KHCO,KH02.01.011.SMP1,2021-03-01,Vegetable OilKHCOKH02.01.011.SMP144256,32.41607,32.41607,44896.04073,44896.04073
Beans,KPCO,KP02.01.011.NPA1,2021-03-01,BeansKPCOKP02.01.011.NPA144256,344.2619925,344.2619925,311830.9722,311830.9722
Dried Skimmed Milk,KPCO,KP02.01.011.NPA1,2021-03-01,Dried Skimmed MilkKPCOKP02.01.011.NPA144256,217.3239544,217.3239544,827351.6841,827351.6841
Maize,KPCO,KP02.01.011.NPA1,2021-03-01,MaizeKPCOKP02.01.011.NPA144256,1022.170831,1022.170831,630038.259,630038.259
Sugar,KPCO,KP02.01.011.NPA1,2021-03-01,SugarKPCOKP02.01.011.NPA144256,350.2728238,350.2728238,341296.5955,341296.5955
Vegetable Oil,KPCO,KP02.01.011.NPA1,2021-03-01,Vegetable OilKPCOKP02.01.011.NPA144256,244.6834595,244.6834595,277376.6554,277376.6554
Wheat,KPCO,KP02.01.011.NPA1,2021-03-01,WheatKPCOKP02.01.011.NPA144256,2071.600727,2071.600727,1333973.982,1333973.982
Beans,KPCO,KP02.01.021.ACL1,2021-03-01,BeansKPCOKP02.01.021.ACL144256,787.5,787.5,648958.8119,648958.8119
Maize,KPCO,KP02.01.021.ACL1,2021-03-01,MaizeKPCOKP02.01.021.ACL144256,2250,1863,1194846.446,989332.857
Vegetable Oil,KPCO,KP02.01.021.ACL1,2021-03-01,Vegetable OilKPCOKP02.01.021.ACL144256,337.5,337.5,355972.8144,355972.8144
Wheat,KPCO,KP02.01.021.ACL1,2021-03-01,WheatKPCOKP02.01.021.ACL144256,0,0,0,0
Canned Fish,LACO,LA01.01.013.SMP1,2021-03-01,Canned FishLACOLA01.01.013.SMP144256,0,0,0,0
Lentils,LACO,LA01.01.013.SMP1,2021-03-01,LentilsLACOLA01.01.013.SMP144256,0,0,0,0
Rice,LACO,LA01.01.013.SMP1,2021-03-01,RiceLACOLA01.01.013.SMP144256,0,0,0,0
Vegetable Oil,LACO,LA01.01.013.SMP1,2021-03-01,Vegetable OilLACOLA01.01.013.SMP144256,0,0,0,0
LNS-SQ,LACO,LA01.04.031.ACL1,2021-03-01,LNS-SQLACOLA01.04.031.ACL144256,0,0,0,0
Rice,LACO,LA01.04.031.ACL1,2021-03-01,RiceLACOLA01.04.031.ACL144256,0,0,0,0
Vegetable Oil,LACO,LA01.04.031.ACL1,2021-03-01,Vegetable OilLACOLA01.04.031.ACL144256,0,0,0,0
Iodized Salt,LRCO,LR02.01.011.SMP1,2021-03-01,Iodized SaltLRCOLR02.01.011.SMP144256,0,0,0,0
Rice,LRCO,LR02.01.011.SMP1,2021-03-01,RiceLRCOLR02.01.011.SMP144256,0,0,0,0
Split Peas,LRCO,LR02.01.011.SMP1,2021-03-01,Split PeasLRCOLR02.01.011.SMP144256,0,0,0,0
Vegetable Oil,LRCO,LR02.01.011.SMP1,2021-03-01,Vegetable OilLRCOLR02.01.011.SMP144256,0,0,0,0
Rice,LRCO,LR02.01.021.URT1,2021-03-01,RiceLRCOLR02.01.021.URT144256,0,0,0,0
Split Peas,LRCO,LR02.01.021.URT1,2021-03-01,Split PeasLRCOLR02.01.021.URT144256,0,0,0,0
Vegetable Oil,LRCO,LR02.01.021.URT1,2021-03-01,Vegetable OilLRCOLR02.01.021.URT144256,0,0,0,0
Beans,LSCO,LS02.01.021.SMP1,2021-03-01,BeansLSCOLS02.01.021.SMP144256,0,0,0,0
Canned Fish,LSCO,LS02.01.021.SMP1,2021-03-01,Canned FishLSCOLS02.01.021.SMP144256,0,0,0,0
Iodized Salt,LSCO,LS02.01.021.SMP1,2021-03-01,Iodized SaltLSCOLS02.01.021.SMP144256,0,0,0,0
Maize Meal,LSCO,LS02.01.021.SMP1,2021-03-01,Maize MealLSCOLS02.01.021.SMP144256,0,0,0,0
